TIME,TORQUE,PASD,PASP
0, 494.00, 0.00, 0.00
2, 488.00, 0.00, 0.00
3, 488.00, 0.00, 0.00
23, 496.00, 0.00, 0.00
48, 495.00, 0.00, 0.00
71, 496.00, 0.00, 0.00
95, 494.00, 0.00, 0.00
119, 490.00, 0.00, 0.00
144, 493.00, 0.00, 0.00
168, 492.00, 0.00, 0.00
194, 491.00, 0.00, 0.00
219, 485.00, 0.00, 0.00
244, 489.00, 0.00, 0.00
269, 490.00, 0.00, 0.00
293, 494.00, 0.00, 0.00
319, 487.00, 0.00, 0.00
344, 490.00, 0.00, 0.00
368, 490.00, 0.00, 0.00
394, 491.00, 0.00, 0.00
418, 487.00, 0.00, 0.00
444, 493.00, 0.00, 0.00
468, 485.00, 0.00, 0.00
493, 494.00, 0.00, 0.00
519, 492.00, 0.00, 0.00
543, 497.00, 0.00, 0.00
568, 491.00, 0.00, 0.00
593, 489.00, 0.00, 0.00
618, 487.00, 0.00, 0.00
644, 488.00, 0.00, 0.00
668, 492.00, 0.00, 0.00
693, 496.00, 0.00, 0.00
718, 491.00, 0.00, 0.00
743, 490.00, 0.00, 0.00
768, 489.00, 0.00, 0.00
793, 494.00, 0.00, 0.00
818, 492.00, 0.00, 0.00
843, 496.00, 0.00, 0.00
868, 493.00, 0.00, 0.00
892, 495.00, 0.00, 0.00
918, 494.00, 0.00, 0.00
943, 493.00, 0.00, 0.00
967, 488.00, 0.00, 0.00
993, 491.00, 0.00, 0.00
1017, 492.00, 0.00, 0.00
1044, 494.00, 0.00, 0.00
1070, 481.00, 0.00, 0.00
1095, 486.00, 0.00, 0.00
1122, 494.00, 0.00, 0.00
1147, 493.00, 0.00, 0.00
1174, 491.00, 0.00, 0.00
1200, 495.00, 0.00, 0.00
1225, 493.00, 0.00, 0.00
1252, 495.00, 0.00, 0.00
1277, 494.00, 0.00, 0.00
1303, 491.00, 0.00, 0.00
1330, 493.00, 0.00, 0.00
1355, 486.00, 0.00, 0.00
1382, 494.00, 0.00, 0.00
1408, 494.00, 0.00, 0.00
1433, 492.00, 0.00, 0.00
1460, 491.00, 0.00, 0.00
1485, 488.00, 0.00, 0.00
1512, 495.00, 0.00, 0.00
1538, 490.00, 0.00, 0.00
1563, 488.00, 0.00, 0.00
1590, 490.00, 0.00, 0.00
1615, 495.00, 0.00, 0.00
1642, 496.00, 0.00, 0.00
1668, 493.00, 0.00, 0.00
1693, 491.00, 0.00, 0.00
1720, 480.00, 0.00, 0.00
1745, 491.00, 0.00, 0.00
1772, 491.00, 0.00, 0.00
1798, 490.00, 0.00, 0.00
1823, 488.00, 0.00, 0.00
1850, 492.00, 0.00, 0.00
1875, 495.00, 0.00, 0.00
1901, 490.00, 0.00, 0.00
1928, 492.00, 0.00, 0.00
1953, 483.00, 0.00, 0.00
1980, 493.00, 0.00, 0.00
2006, 487.00, 0.00, 0.00
2031, 487.00, 0.00, 0.00
2058, 491.00, 0.00, 0.00
2083, 491.00, 0.00, 0.00
2110, 495.00, 0.00, 0.00
2136, 490.00, 0.00, 0.00
2161, 491.00, 0.00, 0.00
2188, 488.00, 0.00, 0.00
2213, 495.00, 0.00, 0.00
2240, 495.00, 0.00, 0.00
2266, 495.00, 0.00, 0.00
2291, 495.00, 0.00, 0.00
2318, 491.00, 0.00, 0.00
2343, 492.00, 0.00, 0.00
2369, 489.00, 0.00, 0.00
2396, 488.00, 0.00, 0.00
2421, 491.00, 0.00, 0.00
2448, 493.00, 0.00, 0.00
2473, 495.00, 0.00, 0.00
2499, 491.00, 0.00, 0.00
2526, 492.00, 0.00, 0.00
2551, 491.00, 0.00, 0.00
2578, 491.00, 0.00, 0.00
2604, 487.00, 0.00, 0.00
2629, 492.00, 0.00, 0.00
2656, 487.00, 0.00, 0.00
2681, 483.00, 0.00, 0.00
2708, 493.00, 0.00, 0.00
2734, 491.00, 0.00, 0.00
2759, 492.00, 0.00, 0.00
2786, 487.00, 0.00, 0.00
2811, 490.00, 0.00, 0.00
2838, 486.00, 0.00, 0.00
2864, 492.00, 0.00, 0.00
2889, 492.00, 0.00, 0.00
2916, 495.00, 0.00, 0.00
2941, 491.00, 0.00, 0.00
2967, 494.00, 0.00, 0.00
2994, 493.00, 0.00, 0.00
3019, 489.00, 0.00, 0.00
3046, 488.00, 0.00, 0.00
3072, 493.00, 0.00, 0.00
3097, 491.00, 0.00, 0.00
3124, 492.00, 0.00, 0.00
3149, 492.00, 0.00, 0.00
3176, 497.00, 0.00, 0.00
3202, 491.00, 0.00, 0.00
3227, 492.00, 0.00, 0.00
3254, 483.00, 0.00, 0.00
3279, 490.00, 0.00, 0.00
3306, 494.00, 0.00, 0.00
3332, 494.00, 0.00, 0.00
